video_id,url,title,channel,channel_id,published_at,age_days,views,likes,comments,subscribers,views_per_subscriber,views_per_day,comments_per_1k_views,like_rate_pct,duration_sec,duration,is_short,format,format_confidence,format_needs_manual_check,format_signals,comments_enabled
yMfEvSPO8KQ,https://youtu.be/yMfEvSPO8KQ,혼자 있어야 편한 띠 #띠별운세 #혼자사는법 #공감글,늘푸른 지혜의 숲,UCbSfA67ac6TF13T7XFw2VlQ,2025-10-29,303,2553542,4292,95,53200,48,8428,0.04,0.17,7,0:07,true,unknown,low,true,dur<=20m,true
B_zaY5sLHXo,https://youtu.be/B_zaY5sLHXo,"[#유퀴즈온더블럭] 혼자가 제일 편하다는 내향인💦 그 행복, 진짜일까?🤔 행복 심리학자가 말하는 내향인의 진실👀",디글 :Diggle,UCWYzc_p0GgfCepIWDHGFmEg,2025-07-11,413,2044167,17543,769,4300000,0.48,4950,0.38,0.86,980,16:20,false,나레이션,high,false,title:심리학|title:심리|title:진실|dur>=4m|dur<=20m,true
MKNj6oEqPUc,https://youtu.be/MKNj6oEqPUc,나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,UCA_hgsFzmynpv1zkvA5A7jA,2023-09-18,1075,1987866,41415,3147,4020000,0.49,1849,1.58,2.08,983,16:23,false,나레이션,high,false,title:특징|dur>=4m|dur<=20m,true
CkAJFI65YVk,https://youtu.be/CkAJFI65YVk,혼자가 편한 사람 특징,픽고 PICKGO,UC2fRmj7qqiuD5VXtBO4hh2A,2023-04-22,1224,1808082,22702,2200,1170000,1.55,1477,1.22,1.26,383,6:23,false,나레이션,high,false,title:특징|dur>=4m|dur<=20m,true
k7N_6YjTwdI,https://youtu.be/k7N_6YjTwdI,점점 혼자가 편한 이유,픽고 PICKGO,UC2fRmj7qqiuD5VXtBO4hh2A,2023-12-01,1001,1799143,46578,1175,1170000,1.54,1797,0.65,2.59,58,0:58,true,나레이션,high,false,title:이유|dur<=20m,true
ipqx78dYBPk,https://youtu.be/ipqx78dYBPk,혼자 살다가 행복하게 죽는 5가지 방법 #삶의지혜 #행복한노후 #100세시대,골든가이드,UCR4zTjPzDeYunRhr4vjdmMw,2025-07-04,419,1641400,23427,432,14700,111.66,3917,0.26,1.43,59,0:59,true,unknown,low,true,dur<=20m,true
XQmrY3U2R_Q,https://youtu.be/XQmrY3U2R_Q,나이들수록 혼자가 행복한 이유 | 온전한 나로써 행복해지는 법 | 쇼펜하우어의 인생론 행복론 | 처세술 | 명언 | 인생의 지혜 | 인간관계,만인의 현인,UCGvAq8dSFD2dJE7h6wFz0QA,2023-08-08,1116,1529363,17405,858,12400,123.34,1370,0.56,1.14,1041,17:21,false,나레이션,high,false,title:이유|dur>=4m|dur<=20m,true
yDZ9zgeZn7c,https://youtu.be/yDZ9zgeZn7c,"친구 한 명 없어도 혼자 잘 지내는 사람들의 '3가지' 장점 (최명기 원장, 한석준 아나운서, 이헌주 교수, 김아라 소장)",지식인사이드,UCA_hgsFzmynpv1zkvA5A7jA,2024-05-04,846,1415475,18295,514,4020000,0.35,1673,0.36,1.29,5411,1:30:11,false,강의,medium,true,title:교수|dur>=12m,true
uWoOrxWxeHM,https://youtu.be/uWoOrxWxeHM,은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,UC5FrwbjA_vjmU9nGbjpbwyg,2024-04-07,872,1395585,14962,3657,564000,2.47,1600,2.62,1.07,674,11:14,false,나레이션,high,false,title:이유|dur>=4m|dur<=20m,true
3aKqWJ4hu24,https://youtu.be/3aKqWJ4hu24,혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,UCgUaqrLRGLL-dHislR1e2TA,2026-04-03,147,1345266,20587,1844,1190000,1.13,9151,1.37,1.53,1412,23:32,false,강의,medium,true,title:교수|dur>=12m,true
Up8EKG5IxdY,https://youtu.be/Up8EKG5IxdY,똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,UCA_hgsFzmynpv1zkvA5A7jA,2024-12-06,630,1160653,15323,2436,4020000,0.29,1842,2.1,1.32,969,16:09,false,나레이션,high,false,title:이유|dur>=4m|dur<=20m,true
QFAIVfI4Vl8,https://youtu.be/QFAIVfI4Vl8,"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,UCgUaqrLRGLL-dHislR1e2TA,2025-12-22,249,1141475,18325,1370,1190000,0.96,4584,1.2,1.61,2329,38:49,false,강의,medium,true,title:교수|dur>=12m,true
3a9uKBrUtLU,https://youtu.be/3a9uKBrUtLU,‼️혼자일 때 (이때가) 진짜 삶을 바꿀 기회다.ㅣ'이혼숙려캠프 상담가' 이호선 숭실사이버대학교 교수ㅣ인생강의,하와이 대저택,UCO-e0J-Qsilkv_4tBa3LyYw,2025-04-08,506,1105405,20153,826,1030000,1.07,2185,0.75,1.82,1256,20:56,false,강의,high,false,title:강의|title:교수|desc:강의|dur>=12m,true
