video_title,channel,author,text,likes,replies,primary,all,length,published_at
점점 혼자가 편한 이유,픽고 PICKGO,@초코파이-c6m,혼자 다니고 혼자 밥먹는게 이상한게 아니라 혼자 알아서 하는 사람을 보고 이상한 시선으로 보고 말하는게 잘못된거라고 생각함... 남한테 피해주는것도 아닌데 왜 우리나라는 혼밥조차도 이상하게 보는지...;,23652,87,반박,자기참조|반박,113,2023-12-01
점점 혼자가 편한 이유,픽고 PICKGO,@윤-f9s,같이 안 다니면 서운해 하는 애들 이해 ㅈㄴ안됨,17524,53,자기참조,자기참조,26,2023-12-04
점점 혼자가 편한 이유,픽고 PICKGO,@ggulttuk,시밬ㅋㅋㅋㅋㅋ사회 나가봐라 다 혼자다ㅋㅋㅋㅋㅋ,13944,33,기타,,25,2023-12-07
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@user-시우,둘이 있을땐 밝은데 3명 넘어가면 말수가 확 줄고 듣기만하고 반응도 잘 못하게됨둥,7689,45,기타,,45,2026-01-17
혼자가 편한 사람 특징,픽고 PICKGO,@나는있어고양이kkkk,ㅋㅋㅋ힘들다하는데 왜 힘든지 안 묻는 거 진짜 공감된다ㅋㅋㅋ,6941,69,정체성확인,정체성확인,33,2023-04-22
혼자가 편한 사람 특징,픽고 PICKGO,@sfdg-v3g,혼자가 편해서 어울릴 사람을 굳이 만들어야할 필요가 없는 사람은 관심사가 같거나 같은 목표가 있는 사람들이랑 어울리면 정말 좋습니다. 대학생이면 하고 싶은 일이 비슷한 사람들과 같이 공부하거나 스펙쌓고 학회나 동아리를 같이 하는 식으로.. 득되는 관계가 유지하는데 힘도 안들어요. 궁금하지도 않은 사람이랑 쓸데없이 어울리려고 하니까 피곤하고 시간낭비처럼 느껴지죠. 결국 이해관계가 안맞아서 생기는 일,6410,53,지식,지식,223,2023-04-22
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@dddk-k,저같은 경우 가장 어려운 건 모두 어색한 상황에서보다 나 말고 모두 친한 상태에서 시작하는 인간관계..,6341,20,자기서사,자기서사,57,2026-01-17
점점 혼자가 편한 이유,픽고 PICKGO,@cat_cute_15,꼭 무조건 누구랑 같이 해야 되는 사람 보면 불편하긴함..,6062,11,자기참조,자기참조,32,2023-12-09
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@leethebotton,좀겉돌면 어떠니 건강하면됐지 하루하루 무탈한거에 감사하자 우리,6016,33,기타,,34,2026-01-18
혼자가 편한 사람 특징,픽고 PICKGO,@johny3765,와 어디가다가 사람 마주쳤을 때 아는 척하기 귀찮은거 나만 그런게 아니었네 ㅋㅋㅋ,5644,21,정체성확인,정체성확인|자기참조,45,2023-04-22
점점 혼자가 편한 이유,픽고 PICKGO,@heheijoo,저게 왜 이상하지? 저런 행동 자체가 남을 배려한다는 건데. 근데 저런 성향이 먼저 다가오면 엄청 반겨줌. 사람이랑 어울리는 게 싫은게 아니라 상대 생각을 너무 많이해서 그냥 혼자가 편할 뿐..,5392,16,기타,,108,2023-12-22
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@응어쩔-nnm12,카톡에 생일 알람 꺼놓은 나..누구 생일 축하해 주기도 받기도 싫은...,5304,209,기타,,40,2026-04-03
