channel_id,channel,url,created_at,age_days,subscribers,total_views,video_count,subs_per_day,views_per_video,views_per_subscriber,upload_cadence_per_week,philosophy_score,philosophy_terms,surfaced_by,hidden_subs
UCuHUaZo43N9PgOCjs3Hg2Uw,PLUS TV (플러스 TV),https://www.youtube.com/channel/UCuHUaZo43N9PgOCjs3Hg2Uw,2026-04-23,127,144000,33748616,246,1133.9,137189,234.4,13.6,0,,철학|철학 유튜브,false
UC-8xHYl97o2Lhri_ycEkydg,눈물한가득,https://www.youtube.com/channel/UC-8xHYl97o2Lhri_ycEkydg,2026-06-06,83,79700,318775996,64,960.2,4980875,3999.7,5.4,0,,장자,false
UCa1Qs2KakshVa71c-wuPMdg,감동적인 실화,https://www.youtube.com/channel/UCa1Qs2KakshVa71c-wuPMdg,2026-05-26,94,34600,2717923,70,368.1,38827,78.6,5.2,0,,장자,false
UCC205PFAwQMqnac2kU04Qqw,kaka7_tv,https://www.youtube.com/channel/UCC205PFAwQMqnac2kU04Qqw,2026-07-18,40,14100,28635065,163,352.5,175675,2030.9,28.5,0,,쇼펜하우어|철학자,false
UCrt5Qj6aKAynxZUv57tBN8w,휴먼예능,https://www.youtube.com/channel/UCrt5Qj6aKAynxZUv57tBN8w,2026-04-09,140,44100,132627778,38,315,3490205,3007.4,1.9,0,,철학,false
UCtTGr7499dGZLHn99E-QQjg,오늘의 인생교훈,https://www.youtube.com/channel/UCtTGr7499dGZLHn99E-QQjg,2026-05-19,101,22900,7486901,535,226.7,13994,326.9,37.1,0,,철학|삶의 의미 철학,false
UC4pZtYmfb0ivhqM-pSuQF7Q,음파름파,https://www.youtube.com/channel/UC4pZtYmfb0ivhqM-pSuQF7Q,2025-10-15,317,59600,10326853,79,188,130720,173.3,1.7,0,,철학자,false
UCYj8qefr1T01uE_UrNrDnpw,오늘의 기준,https://www.youtube.com/channel/UCYj8qefr1T01uE_UrNrDnpw,2025-09-14,348,64200,237857815,899,184.5,264580,3705,18.1,0,,동양철학|삶의 의미 철학,false
UCsHxjs9f2OuW-Cwy5bwLz0A,인간혐오,https://www.youtube.com/channel/UCsHxjs9f2OuW-Cwy5bwLz0A,2026-03-03,178,32400,16400971,158,182,103804,506.2,6.2,0,,니체,false
UCAkD2nhwRLS89s6F3ra2LiA,인생지혜소,https://www.youtube.com/channel/UCAkD2nhwRLS89s6F3ra2LiA,2026-01-09,231,41100,7162373,136,177.9,52665,174.3,4.1,0,,니체,false
UCIIj0D9cAuZNTCEPxJGMqgQ,세기의 렌즈,https://www.youtube.com/channel/UCIIj0D9cAuZNTCEPxJGMqgQ,2025-12-25,246,39400,21131958,622,160.2,33974,536.3,17.7,1,철학,철학|철학 강의|삶의 의미 철학,false
UC38gbphu2xPzTArF0rcfaqw,강남신사,https://www.youtube.com/channel/UC38gbphu2xPzTArF0rcfaqw,2025-11-10,291,45900,6499410,69,157.7,94194,141.6,1.7,1,장자,장자,false
