channel_id,channel,url,created_at,age_days,subscribers,total_views,video_count,subs_per_day,views_per_video,views_per_subscriber,upload_cadence_per_week,philosophy_score,philosophy_terms,surfaced_by,hidden_subs
UCi1QIcN6ZaXNUmH3_3OUtww,현인의등불,https://www.youtube.com/channel/UCi1QIcN6ZaXNUmH3_3OUtww,2026-01-25,215,35000,3684272,42,162.8,87721,105.3,1.4,3,철학|인문학|맹자,삶의 의미 철학,false
UC0GexWeBf9zYaVPI9pxjp6A,잠결에듣는세계사,https://www.youtube.com/channel/UC0GexWeBf9zYaVPI9pxjp6A,2025-12-18,253,32700,4904738,187,129.2,26229,150,5.2,2,철학|인문학,철학|인문학|철학 강의,false
UCDbZBPI9IMdukzxiy2PTt7Q,위인의 지혜,https://www.youtube.com/channel/UCDbZBPI9IMdukzxiy2PTt7Q,2025-09-16,345,41800,3647752,239,121.2,15263,87.3,4.8,3,철학|인문학|사유,삶의 의미 철학,false
UC1EJrCZ6yiyLdwAo6VQ38mg,삶과 쉼터,https://www.youtube.com/channel/UC1EJrCZ6yiyLdwAo6VQ38mg,2025-11-04,297,29300,4929821,105,98.7,46951,168.3,2.5,2,철학|불교,철학 유튜브|니체|쇼펜하우어|철학 강의|삶의 의미 철학|철학자,false
UCD0E-zH1e1lNmGIv-V11s0g,거인의 속삭임,https://www.youtube.com/channel/UCD0E-zH1e1lNmGIv-V11s0g,2025-11-14,287,25000,2754811,148,87.1,18614,110.2,3.6,3,철학|니체|쇼펜하우어,인문학|쇼펜하우어|철학 강의|삶의 의미 철학,false
UCseeBH9qLubTz6SmY5mwlxA,책깃스튜디오,https://www.youtube.com/channel/UCseeBH9qLubTz6SmY5mwlxA,2025-10-28,304,24600,1542930,176,80.9,8767,62.7,4.1,2,철학|인문학,인문학,false
UCyeUSpc55Kw2joDLAeVauUg,철학의만화방,https://www.youtube.com/channel/UCyeUSpc55Kw2joDLAeVauUg,2026-03-11,170,13600,7491065,136,80,55081,550.8,5.6,4,철학|니체|쇼펜하우어|스토아,철학|철학 유튜브|니체|쇼펜하우어,false
UCL2NPsfB-mrubFFy1EgWIhg,책방 민준씨,https://www.youtube.com/channel/UCL2NPsfB-mrubFFy1EgWIhg,2026-02-22,186,13500,1153977,36,72.6,32055,85.5,1.4,3,철학|인문학|실존,인문학|실존주의|철학자,false
UC8VHusOvhF39wb4k0vYr1dA,위인의 하루,https://www.youtube.com/channel/UC8VHusOvhF39wb4k0vYr1dA,2025-09-09,352,23800,2790463,326,67.6,8560,117.2,6.5,3,철학|공자|맹자,쇼펜하우어|철학 강의,false
UCL779l2Q2067vx_CdjLX0Cw,인생을 깨우는 명언,https://www.youtube.com/channel/UCL779l2Q2067vx_CdjLX0Cw,2026-06-20,69,3560,261944,61,51.6,4294,73.6,6.2,6,철학|쇼펜하우어|노자|장자|맹자|불교,삶의 의미 철학,false
