channel,channel_id,url,created_at,subscribers,channel_total_views,channel_video_count,channel_avg_views,cross_video_count,cross_avg_views,cross_vs_channel_ratio,best_cross_video,best_cross_views,views_per_subscriber,cross_in_title_count
지혜의 빛 : 인문학의 숲,UCS_8v3yJnRahqwFvxoEIupg,https://www.youtube.com/channel/UCS_8v3yJnRahqwFvxoEIupg,2013-09-23,291000,23788904,183,129994,14,215422,1.66,"불교철학 입문 : 붓다(buddha)의 세계관에 담겨 있는 진실(feat. 기억 속의 경전, 데카르트, 자크 라캉, 리즈 데이비스)",933494,0.74,6
홍익학당,UCI8HW08rOSlvweOjJ9Gp2Ng,https://www.youtube.com/channel/UCI8HW08rOSlvweOjJ9Gp2Ng,2012-08-26,177000,106841974,7315,14606,12,33172,2.27,[홍익학당] 꼭 알아야 할 칸트철학의 핵심(170628)_A498,177442,0.19,0
홍알정,UCaOPVPMu2bEqEp2-h2ovRxA,https://www.youtube.com/channel/UCaOPVPMu2bEqEp2-h2ovRxA,2021-08-19,1160,68657,281,244,10,73,0.3,[홍성민 교수의 알기쉬운 정치철학 이야기] 84. 자유주의: 칸트 20(유교10),104,0.06,10
STUKA,UCPpFhQhaqZg1Ni7nnYqctxg,https://www.youtube.com/channel/UCPpFhQhaqZg1Ni7nnYqctxg,2015-03-06,3030,909081,193,4710,7,3115,0.66,불교로 이해하는 현대철학 13 니체 철학과 불교   신은 죽었다,4098,1.03,7
마음의 양식,UCSPyyQDExwIA4nhPCtelWuQ,https://www.youtube.com/channel/UCSPyyQDExwIA4nhPCtelWuQ,2025-09-01,368,134992,172,785,7,470,0.6,❤️나이 들어 가장 큰 복은 'OO 이다'❤️인생을 바꾼🌈#성경말씀 #오늘의명언 #삶의지혜 #철학 #하나님 #예수님 #부처님 #기독교 #불교 #니체 #쇼펜하우어 #카뮈  #오디오북,922,1.28,7
너진똑 NJT BOOK,UCA4ZUofyfHIk-qXlAQQV5Hg,https://www.youtube.com/channel/UCA4ZUofyfHIk-qXlAQQV5Hg,2019-05-02,1570000,150897060,223,676668,5,620449,0.92,인류 역사상 최고의 진리,858649,0.4,0
에피파니숲  | 과학·철학 산책,UCjTMvF2Gfi6BIsT9VEe1pNA,https://www.youtube.com/channel/UCjTMvF2Gfi6BIsT9VEe1pNA,2022-12-28,8810,1231211,141,8732,5,25692,2.94,불교를 싫어했던 니체,96389,2.92,4
나를 깨우는 목소리,UCwVhjAVNzM7bAe8Ij3O3buA,https://www.youtube.com/channel/UCwVhjAVNzM7bAe8Ij3O3buA,2023-01-06,1270,189486,209,907,5,416,0.46,"#아리스토텔레스의인생명언모음,#현명한자는적에게서도배운다,#인생조언,#가르침,#깨달음,#지혜,#명상,#오디오북,#노자,#묵자,#공자,#쇼펜하우어,#석가모니,#인생명언,#에픽테토스,",644,0.33,5
환국문명학술원 ,UCA8W_MntT_nXKBEQS9hwAYA,https://www.youtube.com/channel/UCA8W_MntT_nXKBEQS9hwAYA,2014-08-07,1180,159110,2206,72,5,26,0.36,[환국문명학술원258](2)실존주의는 보살 사상이다.종교 믿음은 관계성을 설명하지 못한다. 인간만이 존엄과 인간관계를 구체적으로 알 수 있다.이는 '인간은 무엇인가'의 질문이다?,33,0.02,5
이문회우인문협동조합,UC3fdRZbWOHAsb0LMBxe-InQ,https://www.youtube.com/channel/UC3fdRZbWOHAsb0LMBxe-InQ,2015-05-02,65,7984,18,444,5,646,1.46,허경 프랑스철학으로 읽는 노자 1-1강,1336,9.94,0
책읽기좋은날,UC17lvWECf2AWRbqKuCcf4VQ,https://www.youtube.com/channel/UC17lvWECf2AWRbqKuCcf4VQ,2019-12-07,987000,193137484,2009,96136,4,201172,2.09,[쇼펜하우어를 빼고 인생을 논하지 마라] 마흔에 읽는 쇼펜하우어│책읽어주는여자 오디오북 podcasts,371191,0.2,2
랭크아이템,UCfMFC45e9RY0UJqxE-D4Rgg,https://www.youtube.com/channel/UCfMFC45e9RY0UJqxE-D4Rgg,2020-05-24,4540,175389,383,458,4,18,0.04,노자: 욕심을 줄이면 마음이 평온하다 #노자 #무욕 #자유로운삶,23,0,0
똑똑한 속삭임,UCxbnLJxvi6-6Lh7bv8Iw_oQ,https://www.youtube.com/channel/UCxbnLJxvi6-6Lh7bv8Iw_oQ,2022-06-14,1300,52007,63,826,4,1065,1.29,"장자와 니체, 천재인가 괴짜인가?",2801,0.82,3
나를 배우는 시간,UCaFx_Fe26vwji7gX8bFL9bg,https://www.youtube.com/channel/UCaFx_Fe26vwji7gX8bFL9bg,2025-08-20,171,80835,76,1064,4,1266,1.19,"니체와 장자, 자유의 끝은 달랐다",2120,7.4,4
EBSCulture (EBS 교양),UCl_tB4AqPkkxuYcJQHz6dMw,https://www.youtube.com/channel/UCl_tB4AqPkkxuYcJQHz6dMw,2012-11-19,3050000,2783240264,62417,44591,3,38326,0.86,"EBS 기획특강 - 도올 김용옥의 중용, 인간의 맛_4강_20110913_#004",57441,0.01,1
