video_id,url,title,channel,channel_id,published_at,views,likes,comments,duration,duration_sec,west_names,east_names,cross_strength,cross_in_title,surfaced_by
9P16tX15q0E,https://youtu.be/9P16tX15q0E,"[노자와 니체]""AI가 두려운 당신에게 | 기계가 빨라질수록 인간은 느려져야 하는 이유""""70-80대가 꼭 알아야 할 AI 시대 생존법 | 노자와 니체가 전하는 철학""#오디오북",인생을 밝히는 철학,UCLm9GYRLZic0P7NoxW3V9TQ,2025-12-21,32,1,0,30:58,1858,쇼펜하우어|니체,노자|장자|무위자연,2,true,니체 노자
XQeCI37d0Fw,https://youtu.be/XQeCI37d0Fw,니체는 죽었다 ㅡ우리가 죽였다,너진똑 NJT BOOK,UCA4ZUofyfHIk-qXlAQQV5Hg,2025-06-06,682049,11031,1475,53:15,3195,플라톤|칸트|쇼펜하우어|니체|프로이트|융|하이데거|사르트르|푸코|스토아,용수|불교,2,false,니체 노자|니체 불교|장자 니체
5_oHozPJjXk,https://youtu.be/5_oHozPJjXk,"🌙 틀어놓고 주무세요: 기존의 가치를 파괴한 철학자, 니체의 일생｜깊은 밤, 이야기","깊은 밤, 이야기",UCiP3mCFIOjSJ2hNm3a77QFw,2026-05-25,189469,2726,86,1:44:53,6293,쇼펜하우어|니체,대학,1,false,니체 노자|장자 니체
jpPISwO-mmo,https://youtu.be/jpPISwO-mmo,"우리의 가슴을 뛰게 만드는 니체의 인생 명언, 니체의 인생 수업, 책읽어주는여자 오디오북 korean audiobook",책읽기좋은날,UC17lvWECf2AWRbqKuCcf4VQ,2024-07-21,149624,2829,40,44:45,2685,니체,화두,1,false,니체 노자|장자 니체
46AG9Foa6cA,https://youtu.be/46AG9Foa6cA,니체가 말하는 고독의 힘,지식의 취향,UCKaEKEiswhc9gYL-cwrC49w,2026-08-20,10069,284,13,31:32,1892,니체,요가,1,false,니체 노자|장자 니체
aXEVr2nHyiY,https://youtu.be/aXEVr2nHyiY,[도올김용옥] 국립극단 노자강연 3 헤겔 맑스 니체 프로이드 그리고 노자,도올TV,UCIpQ4Z_y2dObDVDt4T_nleQ,2018-10-15,85770,1404,59,56:21,3381,헤겔|니체,노자,1,true,니체 노자
5qOCg6eFhR4,https://youtu.be/5qOCg6eFhR4,니체와 장자가 바라본 죽음과 소멸 그리고 변화,똑똑한 속삭임,UCxbnLJxvi6-6Lh7bv8Iw_oQ,2025-12-11,507,12,1,8:06,486,니체,장자,1,true,니체 노자|장자 니체
RoDCik5FdBw,https://youtu.be/RoDCik5FdBw,니체가 말하는 절대 잘해줄 필요가 없는 사람 #shorts #명언 #인간관계 #철학 #지혜 #행복 #니체 #쇼펜하우어 #좋은글귀 #처세 #조언 #동기부여 #인생,1%선택,UCBmFVsZcSyln43v7SO1cGew,2026-08-20,395517,10090,181,1:02,62,쇼펜하우어|니체,요가,1,true,니체 노자
DTewx3Tbh5Q,https://youtu.be/DTewx3Tbh5Q,니체가 깨닫고 온몸에 소름이 돋은 레전드 인생 조언 #쇼펜하우어 #니체 #석가모니 #맹자 #명언 #인생조언 #철학 #좋은글 #좋은말 #좋은글귀 #철학 #명언,지혜의 바다,UC7XeH82zOw7e6zCnOdHEJ6w,2025-07-29,101404,2217,27,0:51,51,쇼펜하우어|니체,맹자|석가,2,true,니체 노자|장자 니체
oWDIQsd3Xpc,https://youtu.be/oWDIQsd3Xpc,니체가 귀인에게만 몰래 알려줬다는 충격적인 조언 7가지 #니체 #쇼펜하우어 #석가모니 #맹자 #명언 #인생조언 #철학 #좋은글 #좋은말 #좋은글귀 #철학 #명언,철학하루,UC27h1jhlLFNVuMkQuSuQeIg,2025-08-05,244169,6218,53,1:17,77,쇼펜하우어|니체,맹자|석가,2,true,니체 노자
